
Name, Supported types, Notes
``dpnp.add``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.arctan2``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``, Not supported on devices that lack FP64 support
``dpnp.bitwise_and``, ``types.int32`` ``types.int64``,
``dpnp.bitwise_or``, ``types.int32`` ``types.int64``,
``dpnp.bitwise_xor``,``types.int32`` ``types.int64``,
``dpnp.copysign``, ``types.float32`` ``types.float64``,
``dpnp.divide``, ``types.float32`` ``types.float64``,
``dpnp.equal``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.floor_divide``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.fmax``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.fmin``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.fmod``, ``types.float32`` ``types.float64``,
``dpnp.greater``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.greater_equal``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.hypot``, ``types.float32`` ``types.float64``,
``dpnp.left_shift``, ``types.int32`` ``types.int64``,
``dpnp.less``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.less_equal``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.logical_and``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.logical_or``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.logical_xor``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.maximum``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.minimum``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.mod``, ``types.int32`` ``types.int64``,
``dpnp.multiply``,``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.not_equal``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.power``, ``types.float32`` ``types.float64``,
``dpnp.remainder``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.right_shift``, ``types.float32`` ``types.float64``,
``dpnp.subtract``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.true_divide``, ``types.float32`` ``types.float64``,
``dpnp.abs``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.absolute``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.arccos``, ``types.float32`` ``types.float64``,
``dpnp.arccosh``, ``types.float32`` ``types.float64``, Not supported on Intel Xe (Gen12) GPUs
``dpnp.arcsin``, ``types.float32`` ``types.float64``,
``dpnp.arcsinh``, ``types.float32`` ``types.float64``,
``dpnp.arctan``, ``types.float32`` ``types.float64``,
``dpnp.arctanh``, ``types.float32`` ``types.float64``,
``dpnp.bitwise_not``, ``types.int32`` ``types.int64``,
``dpnp.cbrt``, N/A , Not supported,
``dpnp.ceil``, ``types.float32`` ``types.float64``,
``dpnp.conjugate``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.cos``, ``types.float32`` ``types.float64``,
``dpnp.cosh``, ``types.float32`` ``types.float64``,
``dpnp.deg2rad``, ``types.float32`` ``types.float64``,
``dpnp.degrees``, ``types.float32`` ``types.float64``,
``dpnp.erf``, ``types.float32`` ``types.float64``,
``dpnp.exp``, ``types.float32`` ``types.float64``,
``dpnp.exp2``, ``types.float32`` ``types.float64``,
``dpnp.expm1``, ``types.float32`` ``types.float64``, Not supported on Intel Xe (Gen12) GPUs
``dpnp.fabs``, ``types.float32`` ``types.float64``,
``dpnp.floor``, ``types.float32`` ``types.float64``,
``dpnp.frexp``, N/A , Not supported
``dpnp.invert``, ``types.int32`` ``types.int64``,
``dpnp.isfinite``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.isinf``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.isnan``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.log``, ``types.float32`` ``types.float64``, Not supported on Intel Xe (Gen12) GPUs
``dpnp.log10``, ``types.float32`` ``types.float64``, Not supported on Intel Xe (Gen12) GPUs
``dpnp.log1p``, ``types.float32`` ``types.float64``,
``dpnp.log2``, ``types.float32`` ``types.float64``, Not supported on Intel Xe (Gen12) GPUs
``dpnp.log2``, N/A , Not supported
``dpnp.logical_not``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.logaddexp``, N/A , Not supported
``dpnp.logaddexp2``, N/A , Not supported
``dpnp.negative``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.rad2deg``, ``types.float32`` ``types.float64``,
``dpnp.radians``, ``types.float32`` ``types.float64``,
``dpnp.reciprocal``, ``types.float32`` ``types.float64``,
``dpnp.sign``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``, Not supported on Intel Xe (Gen12) GPUs
``dpnp.sin``, ``types.float32`` ``types.float64``,
``dpnp.sinh``, ``types.float32`` ``types.float64``,
``dpnp.sqrt``, ``types.float32`` ``types.float64``,
``dpnp.square``, ``types.float32`` ``types.float64`` ``types.int32`` ``types.int64``,
``dpnp.tan``, ``types.float32`` ``types.float64``,
``dpnp.tanh``, ``types.float32`` ``types.float64``,
``dpnp.trunc``, ``types.float32`` ``types.float64``,
